UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
461698,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",255027,"Z",0,"R",16035,"Z",0,"R",271062,"Z",0,"Z",0,"R",478553,"Z",0,"R",16035,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",494588,"R",288057,"Z",0,"R",199063,"A",,"Z",0,"R",97690,"R",584810
461704,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",22425,"R",0,"R",0,"R",0,"R",22425,"R",0,"R",0,"R",443483,"R",0,"R",0,"R",0,"R",1248,"R",189084,"A",,"R",0,"R",633815,"R",399162,"Z",0,"R",76784,"A",,"R",0,"R",0,"R",475946
461713,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",38985,"R",6300,"R",45285,"R",0,"R",0,"R",183052,"R",0,"R",0,"R",0,"R",0,"R",72100,"A",,"R",41751,"R",296903,"R",46097,"R",0,"R",348927,"A",,"R",11382,"R",0,"R",406406
461722,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",50100,"Z",0,"Z",0,"Z",0,"R",50100,"R",0,"Z",0,"R",193847,"R",46600,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",0,"R",240447,"R",87147,"Z",0,"R",82513,"A",,"Z",0,"R",412776,"R",582436
461731,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",364274,"R",0,"R",0,"R",6350,"R",0,"R",188135,"A",,"R",0,"R",558759,"R",77615,"R",0,"R",0,"A",,"R",0,"R",0,"R",77615
461740,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",68325,"Z",0,"Z",0,"Z",0,"Z",0,"R",56310,"A",,"R",0,"R",124635,"R",22845,"Z",0,"R",72934,"A",,"Z",0,"R",0,"R",95779
461768,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1218043,"R",0,"R",0,"R",0,"R",0,"R",85780,"A",,"R",0,"R",1303823,"R",446234,"R",0,"R",488078,"A",,"R",0,"R",235366,"R",1169678
461777,"R",281105,"R",84530,"R",196575,"R",281105,"R",503860,"R",460947,"R",0,"R",42913,"R",-65949,"R",219611,"R",0,"R",196575,"R",0,"R",0,"R",0,"R",707,"R",707,"R",0,"R",0,"R",334357,"R",0,"R",0,"R",0,"R",0,"R",169503,"R",0,"R",0,"R",503860,"R",375917,"R",49549,"R",26130,"Z",0,"Z",0,"R",9351,"R",460947
461786,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",45925,"R",0,"R",4300,"R",0,"R",50225,"R",0,"R",0,"R",432835,"R",0,"R",0,"R",0,"R",1118,"R",141960,"A",,"R",0,"R",575913,"R",78862,"R",12336,"R",1000,"A",,"R",0,"R",0,"R",92198
461801,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",125602,"R",0,"R",0,"R",0,"R",125602,"R",0,"R",0,"R",376213,"R",0,"R",0,"R",0,"R",0,"R",45804,"A",,"R",0,"R",422017,"R",425785,"R",0,"R",0,"A",,"R",0,"R",0,"R",425785
461810,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",194976,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",194976,"R",44311,"Z",0,"R",152834,"A",,"Z",0,"R",0,"R",197145
461829,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",118844,"R",0,"R",0,"R",0,"R",118844,"R",0,"R",0,"R",1378951,"R",116722,"R",0,"R",0,"R",0,"R",1609666,"A",,"R",1102760,"R",4208099,"R",99101,"R",0,"R",738963,"A",,"R",0,"R",45000,"R",883064
461838,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",72211,"R",0,"R",0,"R",0,"R",72211,"R",0,"R",0,"R",507042,"R",0,"R",0,"R",0,"R",1075,"R",188764,"A",,"R",0,"R",696881,"R",75440,"R",6889,"R",462384,"A",,"R",0,"R",178636,"R",723349
461856,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",51790,"R",0,"R",0,"R",0,"R",51790,"R",0,"R",0,"R",384767,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",384767,"R",91509,"R",0,"R",794836,"A",,"R",0,"R",800,"R",887145
